TSCode	TripCode	LineCode	RecordedTime	Longitude	Latitude	Count
A003	1281423	54	2021-09-20T15:29:06	71.40655	51.1750755	8
A003	1281423	54	2021-09-20T15:29:37	71.40655	51.1750755	10
A003	1281423	54	2021-09-20T15:30:39	71.40196	51.1751671	12
A003	1281423	54	2021-09-20T15:31:46	71.39438	51.17661	12
A003	1281423	54	2021-09-20T15:32:24	71.3926239	51.1770325	12
A003	1281423	54	2021-09-20T15:34:22	71.38371	51.1791763	12
A003	1281423	54	2021-09-20T15:35:11	71.3815842	51.17975	12
A003	1281423	54	2021-09-20T15:36:07	71.37328	51.1819077	12
A003	1281423	54	2021-09-20T15:36:49	71.36991	51.1826935	12
A003	1281423	54	2021-09-20T15:38:14	71.36227	51.18455	12
A003	1281423	54	2021-09-20T15:38:45	71.35793	51.18565	12
A003	1281423	54	2021-09-20T15:39:16	71.35407	51.1865578	12
A003	1281423	54	2021-09-20T15:41:24	71.34478	51.1878128	12
A003	1281423	54	2021-09-20T15:42:13	71.34356	51.1866951	1
A003	1281423	54	2021-09-20T15:42:44	71.34187	51.185173	2
A003	1281423	54	2021-09-20T15:44:08	71.33735	51.1808167	21
A003	1281423	54	2021-09-20T15:44:39	71.3387756	51.1799774	5
A003	1281423	54	2021-09-20T15:46:21	71.3368149	51.1788521	5
A003	1281423	54	2021-09-20T15:47:14	71.3332	51.1802177	5
A003	1281423	54	2021-09-20T15:48:15	71.32582	51.18288	5
A003	1281423	54	2021-09-20T15:49:16	71.3284149	51.18641	5
A003	1281423	54	2021-09-20T15:50:05	71.32967	51.1878548	5
A003	1281423	54	2021-09-20T15:50:35	71.32927	51.18893	5
A003	1281423	54	2021-09-20T15:52:08	71.32371	51.19141	5
A003	1281423	54	2021-09-20T15:53:17	71.3173752	51.18722	5
A003	1281425	54	2021-09-20T15:54:24	71.31728	51.1861725	5
A003	1281425	54	2021-09-20T15:55:01	71.31728	51.1861725	5
A003	1281425	54	2021-09-20T15:56:03	71.31728	51.1861725	5
A003	1281425	54	2021-09-20T15:57:17	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T15:58:19	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T15:59:20	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:00:22	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:01:16	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:02:29	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:02:59	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:04:32	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:05:26	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:06:27	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:06:57	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:07:59	71.31728	51.1861725	9
A003	1281425	54	2021-09-20T16:09:21	71.31728	51.1861725	1
A003	1281425	54	2021-09-20T16:10:53	71.31728	51.1861725	1
A003	1281425	54	2021-09-20T16:11:24	71.31728	51.1861725	1
A003	1281425	54	2021-09-20T16:12:26	71.31728	51.1861725	1
A003	1281425	54	2021-09-20T16:13:27	71.31728	51.1861725	1
A003	1281425	54	2021-09-20T16:14:32	71.31728	51.1861725	1
A003	1281425	54	2021-09-20T16:15:02	71.31728	51.1861725	1
A003	1281425	54	2021-09-20T16:16:04	71.31728	51.1861725	4
A003	1281425	54	2021-09-20T16:17:17	71.3165741	51.1866074	4
A003	1281425	54	2021-09-20T16:18:37	71.32456	51.190937	4
A003	1281425	54	2021-09-20T16:19:47	71.33004	51.188633	4
A003	1281425	54	2021-09-20T16:20:05	71.3297043	51.18817	4
A003	1281425	54	2021-09-20T16:21:31	71.32534	51.1833	4
A003	1281425	54	2021-09-20T16:22:29	71.33011	51.18124	4
A003	1281425	54	2021-09-20T16:23:33	71.3338	51.1799049	4
A003	1281425	54	2021-09-20T16:24:37	71.33907	51.17812	4
A003	1281425	54	2021-09-20T16:24:37	71.33907	51.17812	4
A003	1281425	54	2021-09-20T16:26:18	71.33833	51.180294	7
A003	1281425	54	2021-09-20T16:27:28	71.3388443	51.1821747	7
A003	1281425	54	2021-09-20T16:28:29	71.34272	51.1858139	7
A003	1281425	54	2021-09-20T16:29:15	71.343956	51.1869659	7
A003	1281425	54	2021-09-20T16:30:28	71.3463058	51.18811	7
A003	1281425	54	2021-09-20T16:31:11	71.34899	51.1874962	7
A003	1281425	54	2021-09-20T16:32:53	71.359314	51.18492	7
A003	1281425	54	2021-09-20T16:33:24	71.36244	51.1842041	7
A003	1281425	54	2021-09-20T16:34:21	71.36713	51.1830559	7
A003	1281425	54	2021-09-20T16:35:22	71.37139	51.182045	7
A003	1281425	54	2021-09-20T16:36:23	71.37272	51.1817169	7
A003	1281425	54	2021-09-20T16:37:07	71.37311	51.1816177	7
A003	1281425	54	2021-09-20T16:38:56	71.37893	51.18009	7
A003	1281425	54	2021-09-20T16:39:55	71.38342	51.1788864	7
A003	1281425	54	2021-09-20T16:40:26	71.38602	51.1782837	7
A003	1281425	54	2021-09-20T16:41:13	71.39022	51.17723	7
A003	1281425	54	2021-09-20T16:42:25	71.3942947	51.17625	7
A003	1281425	54	2021-09-20T16:43:25	71.39706	51.175766	7
A003	1281425	54	2021-09-20T16:44:23	71.40226	51.17483	7
A003	1281425	54	2021-09-20T16:46:16	71.4071655	51.1718941	7
A003	1281425	54	2021-09-20T16:46:47	71.40777	51.169693	7
A003	1281425	54	2021-09-20T16:47:50	71.40799	51.16875	7
A003	1281425	54	2021-09-20T16:48:48	71.4090042	51.16509	9
A003	1281425	54	2021-09-20T16:50:01	71.40998	51.1618347	9
A003	1281425	54	2021-09-20T16:50:18	71.40998	51.1618347	9
A003	1281425	54	2021-09-20T16:51:52	71.412384	51.15324	9
A003	1281425	54	2021-09-20T16:52:55	71.41252	51.15027	9
A003	1281425	54	2021-09-20T16:53:54	71.4115448	51.1451073	9
A003	1281425	54	2021-09-20T16:54:25	71.41102	51.143692	9
A003	1281425	54	2021-09-20T16:55:40	71.40923	51.1391029	9
A003	1281425	54	2021-09-20T16:57:05	71.40886	51.13776	9
